player,team,minutes,raw_total,per90
Daley Blind,Netherlands,1.7,1.0,54.00
Mirlind Daku,Albania,10.3,1.0,8.78
Ivan Toney,England,23.2,2.0,7.75
Kevin Csoboth,Hungary,13.9,1.0,6.47
Michał Skóraś,Poland,17.8,1.0,5.07
Micky van de Ven,Netherlands,73.0,3.0,3.70
Oleksandr Zubkov,Ukraine,24.8,1.0,3.63
Veljko Birmančević,Serbia,25.6,1.0,3.52
Maximilian Beier,Germany,25.9,1.0,3.48
Zsolt Nagy,Hungary,25.9,1.0,3.48
Eberechi Eze,England,78.6,3.0,3.43
Alejandro Grimaldo García,Spain,100.5,3.0,2.69
Cole Palmer,England,135.0,4.0,2.67
Cenk Tosun,Turkey,36.2,1.0,2.49
Pedro González López,Spain,189.3,5.0,2.38
Vincent Sierro,Switzerland,38.3,1.0,2.35
Nico Schlotterbeck,Germany,117.6,3.0,2.30
Florinel Teodor Coman,Romania,119.6,3.0,2.26
Leroy Sané,Germany,207.9,5.0,2.16
Niclas Füllkrug,Germany,166.5,4.0,2.16
José Ignacio Fernández Iglesias,Spain,265.0,6.0,2.04
Diogo José Teixeira da Silva,Portugal,88.9,2.0,2.02
Wout Weghorst,Netherlands,133.5,3.0,2.02
Patrick Wimmer,Austria,135.2,3.0,2.00
José Luis Sanmartín Mato,Spain,93.9,2.0,1.92
Pascal Groß,Germany,47.5,1.0,1.89
Jesús Navas González,Spain,143.1,3.0,1.89
Arbër Hoxha,Albania,47.9,1.0,1.88
Nicholas Williams Arthuer,Spain,488.2,10.0,1.84
Lamine Yamal Nasraoui Ebana,Spain,495.7,10.0,1.82
Leonidas Stergiou,Switzerland,49.7,1.0,1.81
Alexander Prass,Austria,155.6,3.0,1.74
Ollie Watkins,England,55.0,1.0,1.64
Fabian Rieder,Switzerland,221.5,4.0,1.63
Álvaro Borja Morata Martín,Spain,445.6,8.0,1.62
Unai Simón Mendibil,Spain,568.9,10.0,1.58
Georginio Wijnaldum,Netherlands,57.4,1.0,1.57
Rodrigo Hernández Cascante,Spain,524.6,9.0,1.54
Lazar Samardžić,Serbia,58.7,1.0,1.53
Daniel Carvajal Ramos,Spain,473.5,8.0,1.52
Otar Kiteishvili,Georgia,121.7,2.0,1.48
Robin Aime Robert Le Normand,Spain,427.9,7.0,1.47
Maximilian Mittelstädt,Germany,308.7,5.0,1.46
Martín Zubimendi Ibáñez,Spain,128.0,2.0,1.41
İlkay Gündoğan,Germany,387.5,6.0,1.39
Kai Havertz,Germany,388.1,6.0,1.39
Mikel Oyarzabal Ugarte,Spain,197.4,3.0,1.37
Dodi Lukebakio,Belgium,66.0,1.0,1.36
Aymeric Laporte,Spain,528.7,8.0,1.36
Žan Celar,Slovenia,66.2,1.0,1.36
Toni Kroos,Germany,470.0,7.0,1.34
Fabián Ruiz Peña,Spain,544.0,8.0,1.32
Antonio Rüdiger,Germany,482.5,7.0,1.31
Manuel Neuer,Germany,482.5,7.0,1.31
Joshua Kimmich,Germany,482.5,7.0,1.31
Marc Cucurella Saseta,Spain,552.1,8.0,1.30
Luka Sučić,Croatia,139.3,2.0,1.29
Merih Demiral,Turkey,211.0,3.0,1.28
Daniel Olmo Carvajal,Spain,422.9,6.0,1.28
Jamal Musiala,Germany,424.9,6.0,1.27
İsmail Yüksek,Turkey,150.1,2.0,1.20
Breel-Donald Embolo,Switzerland,301.2,4.0,1.20
Jonathan Tah,Germany,319.7,4.0,1.13
Robert Andrich,Germany,324.8,4.0,1.11
Nélson Cabral Semedo,Portugal,83.4,1.0,1.08
David Raum,Germany,166.8,2.0,1.08
David Raya Martin,Spain,83.7,1.0,1.08
Mikel Merino Zazón,Spain,167.6,2.0,1.07
Jeremie Frimpong,Netherlands,87.4,1.0,1.03
Bruno Miguel Borges Fernandes,Portugal,371.2,4.0,0.97
Donyell Malen,Netherlands,188.6,2.0,0.95
Emre Can,Germany,96.8,1.0,0.93
Endre Botka,Hungary,99.6,1.0,0.90
Jon Gorenc Stankovič,Slovenia,99.7,1.0,0.90
Dan Ndoye,Switzerland,409.4,4.0,0.88
Kléper Laveran Lima Ferreira,Portugal,409.6,4.0,0.88
Rúben Santos Gato Alves Dias,Portugal,415.5,4.0,0.87
Bernardo Mota Veiga de Carvalho e Silva,Portugal,415.5,4.0,0.87
Bradley Barcola,France,104.9,1.0,0.86
Denzel Dumfries,Netherlands,445.6,4.0,0.81
Mario Pašalić,Croatia,115.1,1.0,0.78
João Pedro Cavaco Cancelo,Portugal,348.1,3.0,0.78
Orkun Kökçü,Turkey,234.6,2.0,0.77
Roman Yaremchuk,Ukraine,118.4,1.0,0.76
Daniel Vivian Moreno,Spain,119.6,1.0,0.75
Vitor Machado Ferreira,Portugal,360.1,3.0,0.75
Michel Aebischer,Switzerland,482.3,4.0,0.75
Fabian Lukas Schär,Switzerland,482.5,4.0,0.75
Ricardo Iván Rodríguez Araya,Switzerland,482.5,4.0,0.75
Granit Xhaka,Switzerland,482.5,4.0,0.75
Manuel Obafemi Akanji,Switzerland,482.5,4.0,0.75
Yann Sommer,Switzerland,482.5,4.0,0.75
Fehmi Mert Günok,Turkey,371.8,3.0,0.73
Trent Alexander-Arnold,England,131.6,1.0,0.68
Lukáš Haraslín,Slovakia,266.0,2.0,0.68
Nuno Mendes,Portugal,412.3,3.0,0.65
Florian Wirtz,Germany,281.5,2.0,0.64
Youri Tielemans,Belgium,152.1,1.0,0.59
Remo Freuler,Switzerland,459.1,3.0,0.59
Ruben Vargas,Switzerland,307.5,2.0,0.59
Xavi Simons,Netherlands,463.2,3.0,0.58
Ferrán Torres García,Spain,156.3,1.0,0.58
Ondrej Duda,Slovakia,325.6,2.0,0.55
Maximilian Wöber,Austria,168.2,1.0,0.54
Mert Müldür,Turkey,346.5,2.0,0.52
Luke Shaw,England,177.3,1.0,0.51
Volodymyr Brazhko,Ukraine,178.6,1.0,0.50
Bart Verbruggen,Netherlands,536.8,3.0,0.50
Virgil van Dijk,Netherlands,536.8,3.0,0.50
Stefan de Vrij,Netherlands,536.8,3.0,0.50
Adrien Rabiot,France,358.1,2.0,0.50
Anatolii Trubin,Ukraine,180.4,1.0,0.50
Florian Grillitsch,Austria,185.9,1.0,0.48
Davide Frattesi,Italy,194.4,1.0,0.46
Oleksandr Tymchyk,Ukraine,195.4,1.0,0.46
Joey Veerman,Netherlands,207.1,1.0,0.43
Philipp Lienhart,Austria,211.6,1.0,0.43
Memphis Depay,Netherlands,462.0,2.0,0.39
Cristiano Ronaldo dos Santos Aveiro,Portugal,480.6,2.0,0.37
Tijjani Reijnders,Netherlands,487.7,2.0,0.37
Diogo Meireles Costa,Portugal,496.6,2.0,0.36
N'Golo Kanté,France,497.0,2.0,0.36
Marcus Thuram,France,259.6,1.0,0.35
Jan Vertonghen,Belgium,265.7,1.0,0.34
Nicușor Silviu Bancu,Romania,266.5,1.0,0.34
Marko Arnautović,Austria,272.4,1.0,0.33
Marc Guehi,England,547.6,2.0,0.33
Rafael Alexandre Conceição Leão,Portugal,288.5,1.0,0.31
João Maria Lobo Alves Palhinha Gonçalves,Portugal,298.1,1.0,0.30
Silvan Widmer,Switzerland,299.0,1.0,0.30
Marius Mihai Marin,Romania,304.5,1.0,0.30
Bukayo Saka,England,621.7,2.0,0.29
Jude Bellingham,England,661.9,2.0,0.27
Kyle Walker,England,665.3,2.0,0.27
John Stones,England,665.3,2.0,0.27
Jordan Pickford,England,665.3,2.0,0.27
Declan Rice,England,665.3,2.0,0.27
Ivan Schranz,Slovakia,335.0,1.0,0.27
Kenan Yildiz,Turkey,344.8,1.0,0.26
Arda Güler,Turkey,345.3,1.0,0.26
Marcel Sabitzer,Austria,350.7,1.0,0.26
Patrick Pentz,Austria,350.7,1.0,0.26
Nicolas Seiwald,Austria,350.7,1.0,0.26
Stefan Posch,Austria,350.7,1.0,0.26
Juraj Kucka,Slovakia,357.2,1.0,0.25
Benjamin Šeško,Slovenia,361.2,1.0,0.25
Antoine Griezmann,France,378.1,1.0,0.24
Kylian Mbappé Lottin,France,460.9,1.0,0.20
Jerdy Schouten,Netherlands,506.3,1.0,0.18
Cody Mathès Gakpo,Netherlands,521.2,1.0,0.17
William Saliba,France,553.2,1.0,0.16
Dayotchanculle Upamecano,France,553.2,1.0,0.16
Jules Koundé,France,553.2,1.0,0.16
Theo Bernard François Hernández,France,553.2,1.0,0.16
Mike Maignan,France,553.2,1.0,0.16
Harry Kane,England,598.2,1.0,0.15
Ayoze Pérez Gutiérrez,Spain,16.6,0.0,0.00
Kevin De Bruyne,Belgium,359.5,0.0,0.00
Benjamin Henrichs,Germany,6.9,0.0,0.00
Kingsley Coman,France,3.8,0.0,0.00
Renato Steffen,Switzerland,0.0,0.0,0.00
Maksym Talovierov,Ukraine,0.0,0.0,0.00
Koen Casteels,Belgium,359.5,0.0,0.00
Luka Lochoshvili,Georgia,174.9,0.0,0.00
Chris Führich,Germany,15.6,0.0,0.00
Steven Bergwijn,Netherlands,90.0,0.0,0.00
Barış Alper Yılmaz,Turkey,459.7,0.0,0.00
Semih Kılıçsoy,Turkey,7.0,0.0,0.00
Martin Ádám,Hungary,51.7,0.0,0.00
Giorgi Chakvetadze,Georgia,242.1,0.0,0.00
Vanja Drkušić,Slovenia,395.7,0.0,0.00
Michael Gregoritsch,Austria,115.6,0.0,0.00
Gonçalo Bernardo Inácio,Portugal,111.0,0.0,0.00
Andraž Šporar,Slovenia,348.5,0.0,0.00
Benjamin Verbič,Slovenia,77.4,0.0,0.00
David Jurásek,Czech Republic,161.2,0.0,0.00
Serhii Sydorchuk,Ukraine,6.4,0.0,0.00
Dávid Ďuriš,Slovakia,28.2,0.0,0.00
Petar Stojanović,Slovenia,318.3,0.0,0.00
Zeno Debast,Belgium,106.7,0.0,0.00
Dániel Gazdag,Hungary,0.4,0.0,0.00
Alejandro Baena Rodríguez,Spain,22.9,0.0,0.00
Kasper Dolberg,Denmark,40.5,0.0,0.00
Deniz Undav,Germany,3.7,0.0,0.00
Ruslan Malinovskiy,Ukraine,30.2,0.0,0.00
Leandro Trossard,Belgium,168.7,0.0,0.00
Luka Jović,Serbia,98.9,0.0,0.00
