player,team,minutes,rating
Lionel Andrés Messi Cuccittini,Argentina,47201.5,8.38
Víctor Valdés Arribas,Barcelona,21841.8,5.57
Ivan Rakitić,Sevilla,14267.8,5.13
Jonathan Tah,Germany,5400.8,4.91
Carles Puyol i Saforcada,Barcelona,14659.7,4.89
Cristiano Ronaldo dos Santos Aveiro,Portugal,6414.8,4.77
Claudio Andrés Bravo Muñoz,Chile,6983.4,4.72
Thierry Henry,Barcelona,7536.4,4.70
Pedro Eliezer Rodríguez Ledesma,Chelsea,12637.2,4.63
Xavier Hernández Creus,Barcelona,19552.6,4.57
Kléper Laveran Lima Ferreira,Portugal,4455.4,4.55
Maxwell Scherrer Cabelino Andrade,Paris Saint-Germain,5771.6,4.15
Jordi Alba Ramos,Inter Miami,20950.5,4.15
Zlatan Ibrahimović,Paris Saint-Germain,4100.0,4.05
Ángel Fabián Di María Hernández,Argentina,4862.8,4.00
Thiago Emiliano da Silva,Brazil,3313.0,3.92
Marcelo Vieira da Silva Júnior,Real Madrid,4410.3,3.91
Rafael Márquez Álvarez,Mexico,6934.3,3.85
Carlos Henrique Casimiro,Brazil,3128.0,3.77
Daniel Alves da Silva,Brazil,18606.4,3.76
Edinson Roberto Cavani Gómez,Uruguay,2619.6,3.74
Daniel Carvajal Ramos,Spain,3516.0,3.71
Luka Modrić,Croatia,5890.7,3.65
Samuel Eto''o Fils,Inter Milan,6419.5,3.63
Antoine Griezmann,France,10500.4,3.62
Leonardo Bonucci,Union Berlin,3925.8,3.55
Neymar da Silva Santos Junior,Paris Saint-Germain,12412.0,3.54
Paul Pogba,France,3927.1,3.50
Sergio Ramos García,Paris Saint-Germain,7742.1,3.47
Álvaro Borja Morata Martín,Spain,2796.2,3.46
Gnégnéri Yaya Touré,Manchester City,6462.1,3.46
Blaise Matuidi,France,2191.5,3.38
Gianluigi Buffon,Juventus,3227.0,3.33
Robert Pirès,Villarreal,3053.2,3.29
Kyle Walker,England,4841.8,3.27
Kolo Habib Touré,Liverpool,3893.1,3.22
Granit Xhaka,Switzerland,4556.7,3.18
Ronaldo de Assis Moreira,Barcelona,4669.6,3.10
Thiago Motta,Paris Saint-Germain,2743.1,3.04
Jan Oblak,Slovenia,4635.4,3.03
Marcos Aoás Corrêa,Brazil,6660.8,2.98
Marc Bartra Aregall,Real Betis,3159.9,2.97
Odilon Kossonou,Bayer Leverkusen,2017.2,2.95
Juan Francisco Torres Belén,Atlético Madrid,4257.3,2.94
Andrés Iniesta Luján,Spain,22936.3,2.91
Harry Kane,England,5767.2,2.90
Seydou Kéita,AS Roma,6885.3,2.88
Alejandro Grimaldo García,Spain,2836.5,2.87
Diego Roberto Godín Leal,Uruguay,4836.3,2.83
Jorge Luiz Frello Filho,Italy,3696.6,2.78
Claudio Marchisio,Juventus,1994.9,2.76
Anderson Luís de Souza,Barcelona,4316.5,2.73
Andrea Barzagli,Juventus,2806.4,2.71
Kevin Trapp,Eintracht Frankfurt,3003.3,2.71
Jordan Brian Henderson,England,2302.2,2.70
Mario Mandžukić,Croatia,2874.8,2.67
Stephan Lichtsteiner,Switzerland,2125.3,2.67
Florian Wirtz,Germany,2640.2,2.66
Lukáš Hrádecký,Bayer Leverkusen,3373.4,2.63
Victor Okoh Boniface,Bayer Leverkusen,1534.3,2.62
Thibaut Courtois,Belgium,4358.0,2.57
Jesús Navas González,Spain,4035.5,2.51
Luis Alberto Suárez Díaz,Uruguay,15373.7,2.50
Marc Albrighton,Leicester City,2719.7,2.50
José Manuel Reina Páez,Napoli,3290.5,2.49
Karim Benzema,France,4074.9,2.48
Riyad Mahrez,Algeria,3209.9,2.46
Sergio Busquets i Burgos,Inter Miami,30552.1,2.46
Jonas Hofmann,Bayer Leverkusen,2290.5,2.46
